at,atgdlast10,atgdlast20,atgdlast5,atwinslast20,atwinslat10,atwinslat5,ht,htgdlast10,htgdlast20,htgdlast5,htwinslast20,htwinslat10,htwinslat5,result,versuslast5
Ath Bilbao,1.0,2.0,1.0,6.0,3.0,1.5,Sociedad,-1.0,-6.0,6.0,1.0,1.5,2.0,D,-2.0
Osasuna,1.0,3.0,0.0,7.0,3.5,1.5,La Coruna,11.0,18.0,5.0,7.0,3.0,1.5,H,0.5
Espanol,-3.0,-17.0,1.0,-5.0,-1.0,0.0,Malaga,-7.0,-8.0,-12.0,-1.5,-2.0,-3.0,H,0.0
Valencia,13.0,27.0,8.0,8.0,5.0,1.5,Real Madrid,9.0,15.0,2.0,7.5,4.5,1.5,D,0.0
Celta,-7.0,-7.0,-1.0,2.5,1.0,0.5,Valladolid,-3.0,-1.0,-4.0,2.5,-1.0,-1.5,A,-1.0
Santander,-6.0,-3.0,-1.0,2.5,2.0,1.0,Villarreal,1.0,1.0,1.0,1.0,0.5,0.0,H,0.0
Malaga,-8.0,-3.0,-6.0,-0.5,-2.0,-1.0,Celta,-5.0,-5.0,-1.0,2.0,0.5,0.5,A,0.0
Real Madrid,7.0,13.0,3.0,8.0,4.0,3.0,Espanol,-5.0,-18.0,-3.0,-5.0,-2.0,-1.0,A,-1.5
Sociedad,-1.0,-9.0,5.0,0.5,1.5,1.5,Sevilla,3.0,7.0,2.0,1.5,-0.5,-1.0,H,-1.0
Barcelona,10.0,8.0,9.0,4.5,3.0,2.5,Valencia,13.0,24.0,7.0,8.5,5.0,2.0,A,1.0
Betis,8.0,5.0,4.0,4.0,4.0,2.5,Ath Bilbao,1.0,2.0,4.0,6.0,3.0,3.0,D,0.5
